file_name,enc_mean,enc_std,dec_mean,dec_std
8.bin,1.5240171924233437e-05,1.4251731527098544e-06,1.4671791286673396e-05,6.106583947714698e-07
64.bin,1.5680880460422485e-05,2.560912708899931e-06,1.540190918603912e-05,2.3662136383666704e-06
512.bin,2.0664628536906093e-05,7.588600749812938e-06,1.6116288024932144e-05,3.4042753954803926e-06
4096.bin,3.0804642010480164e-05,7.459624710475323e-06,3.2678018906153737e-05,6.246913553727554e-06
32768.bin,4.499799135373905e-05,9.644885200223673e-06,4.072177864145487e-05,9.308164035305534e-06
262144.bin,0.00018153828976210206,2.2431365979153723e-05,0.00016221958998357877,1.1093551408734493e-05
2097152.bin,0.0038685574510600416,0.000676718327353527,0.0012070873207994737,9.549091497702501e-05
